stock_count,price,discounted_price,product_variant_id,product_id,title,image_link,small_image_link,large_image_link,size,color,gender,age_interval,store_name
22,34.00,34.00,acc-case-galaxy-s25-black,acc-case-galaxy-s25,Protective case for Galaxy S25 Black,https://d-telco.github.io/telco/assets/catalog/acc-case-galaxy-s25-black-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-galaxy-s25-black-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-galaxy-s25-black-1600.jpg,One size,Black,unisex,,D·TELCO Shop
14,34.00,34.00,acc-case-galaxy-s25-mint,acc-case-galaxy-s25,Protective case for Galaxy S25 Mint,https://d-telco.github.io/telco/assets/catalog/acc-case-galaxy-s25-mint-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-galaxy-s25-mint-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-galaxy-s25-mint-1600.jpg,One size,Mint,unisex,,D·TELCO Shop
53,44.00,44.00,acc-case-galaxy-s25-ultra-black,acc-case-galaxy-s25-ultra,Protective case for Galaxy S25 Ultra Black,https://d-telco.github.io/telco/assets/catalog/acc-case-galaxy-s25-ultra-black-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-galaxy-s25-ultra-black-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-galaxy-s25-ultra-black-1600.jpg,One size,Black,unisex,,D·TELCO Shop
93,44.00,44.00,acc-case-galaxy-s25-ultra-navy,acc-case-galaxy-s25-ultra,Protective case for Galaxy S25 Ultra Navy,https://d-telco.github.io/telco/assets/catalog/acc-case-galaxy-s25-ultra-navy-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-galaxy-s25-ultra-navy-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-galaxy-s25-ultra-navy-1600.jpg,One size,Navy,unisex,,D·TELCO Shop
37,35.00,35.00,acc-case-iphone-16-black,acc-case-iphone-16,Silicone case for iPhone 16 Black,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-16-black-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-16-black-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-16-black-1600.jpg,One size,Black,unisex,,D·TELCO Shop
2,35.00,35.00,acc-case-iphone-16-pink,acc-case-iphone-16,Silicone case for iPhone 16 Pink,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-16-pink-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-16-pink-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-16-pink-1600.jpg,One size,Pink,unisex,,D·TELCO Shop
49,45.00,45.00,acc-case-iphone-16-pro-black,acc-case-iphone-16-pro,Silicone case for iPhone 16 Pro Black,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-16-pro-black-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-16-pro-black-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-16-pro-black-1600.jpg,One size,Black,unisex,,D·TELCO Shop
1,45.00,45.00,acc-case-iphone-16-pro-blue,acc-case-iphone-16-pro,Silicone case for iPhone 16 Pro Blue,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-16-pro-blue-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-16-pro-blue-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-16-pro-blue-1600.jpg,One size,Blue,unisex,,D·TELCO Shop
15,39.00,39.00,acc-case-iphone-17-black,acc-case-iphone-17,Silicone case for iPhone 17 Black,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-17-black-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-17-black-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-17-black-1600.jpg,One size,Black,unisex,,D·TELCO Shop
38,39.00,39.00,acc-case-iphone-17-pink,acc-case-iphone-17,Silicone case for iPhone 17 Pink,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-17-pink-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-17-pink-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-17-pink-1600.jpg,One size,Pink,unisex,,D·TELCO Shop
25,39.00,39.00,acc-case-iphone-17-teal,acc-case-iphone-17,Silicone case for iPhone 17 Teal,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-17-teal-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-17-teal-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-17-teal-1600.jpg,One size,Teal,unisex,,D·TELCO Shop
42,49.00,49.00,acc-case-iphone-17-pro-black,acc-case-iphone-17-pro,Silicone case for iPhone 17 Pro Black,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-17-pro-black-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-17-pro-black-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-17-pro-black-1600.jpg,One size,Black,unisex,,D·TELCO Shop
57,49.00,49.00,acc-case-iphone-17-pro-blue,acc-case-iphone-17-pro,Silicone case for iPhone 17 Pro Blue,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-17-pro-blue-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-17-pro-blue-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-17-pro-blue-1600.jpg,One size,Blue,unisex,,D·TELCO Shop
26,49.00,49.00,acc-case-iphone-17-pro-sand,acc-case-iphone-17-pro,Silicone case for iPhone 17 Pro Sand,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-17-pro-sand-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-17-pro-sand-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-17-pro-sand-1600.jpg,One size,Sand,unisex,,D·TELCO Shop
80,49.00,49.00,acc-case-iphone-17-pro-max-black,acc-case-iphone-17-pro-max,Silicone case for iPhone 17 Pro Max Black,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-17-pro-max-black-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-17-pro-max-black-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-17-pro-max-black-1600.jpg,One size,Black,unisex,,D·TELCO Shop
101,49.00,49.00,acc-case-iphone-17-pro-max-blue,acc-case-iphone-17-pro-max,Silicone case for iPhone 17 Pro Max Blue,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-17-pro-max-blue-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-17-pro-max-blue-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-17-pro-max-blue-1600.jpg,One size,Blue,unisex,,D·TELCO Shop
45,49.00,49.00,acc-case-iphone-17-pro-max-sand,acc-case-iphone-17-pro-max,Silicone case for iPhone 17 Pro Max Sand,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-17-pro-max-sand-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-17-pro-max-sand-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-iphone-17-pro-max-sand-1600.jpg,One size,Sand,unisex,,D·TELCO Shop
2,32.00,32.00,acc-case-pixel-10-indigo,acc-case-pixel-10,Protective case for Pixel 10 Indigo,https://d-telco.github.io/telco/assets/catalog/acc-case-pixel-10-indigo-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-pixel-10-indigo-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-pixel-10-indigo-1600.jpg,One size,Indigo,unisex,,D·TELCO Shop
27,32.00,32.00,acc-case-pixel-10-obsidian,acc-case-pixel-10,Protective case for Pixel 10 Obsidian,https://d-telco.github.io/telco/assets/catalog/acc-case-pixel-10-obsidian-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-pixel-10-obsidian-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-pixel-10-obsidian-1600.jpg,One size,Obsidian,unisex,,D·TELCO Shop
3,39.00,39.00,acc-case-pixel-10-pro-jade,acc-case-pixel-10-pro,Protective case for Pixel 10 Pro Jade,https://d-telco.github.io/telco/assets/catalog/acc-case-pixel-10-pro-jade-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-pixel-10-pro-jade-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-pixel-10-pro-jade-1600.jpg,One size,Jade,unisex,,D·TELCO Shop
10,39.00,39.00,acc-case-pixel-10-pro-obsidian,acc-case-pixel-10-pro,Protective case for Pixel 10 Pro Obsidian,https://d-telco.github.io/telco/assets/catalog/acc-case-pixel-10-pro-obsidian-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-pixel-10-pro-obsidian-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-pixel-10-pro-obsidian-1600.jpg,One size,Obsidian,unisex,,D·TELCO Shop
36,14.00,14.00,acc-case-universal-clear-clear,acc-case-universal-clear,"Clear case, universal fit Clear",https://d-telco.github.io/telco/assets/catalog/acc-case-universal-clear-clear-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-universal-clear-clear-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-case-universal-clear-clear-1600.jpg,One size,Clear,unisex,,D·TELCO Shop
27,19.00,19.00,acc-charger-car-usbc-black,acc-charger-car-usbc,Car charger USB-C Black,https://d-telco.github.io/telco/assets/catalog/acc-charger-car-usbc-black-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-charger-car-usbc-black-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-charger-car-usbc-black-1600.jpg,One size,Black,unisex,,D·TELCO Shop
29,54.00,54.00,acc-charger-gan-65w-black,acc-charger-gan-65w,65 W GaN travel charger Black,https://d-telco.github.io/telco/assets/catalog/acc-charger-gan-65w-black-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-charger-gan-65w-black-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-charger-gan-65w-black-1600.jpg,One size,Black,unisex,,D·TELCO Shop
44,49.00,49.00,acc-charger-magsafe-white,acc-charger-magsafe,Magnetic wireless charger White,https://d-telco.github.io/telco/assets/catalog/acc-charger-magsafe-white-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-charger-magsafe-white-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-charger-magsafe-white-1600.jpg,One size,White,unisex,,D·TELCO Shop
48,24.00,24.00,acc-charger-usbc-20w-white,acc-charger-usbc-20w,20 W USB-C charger White,https://d-telco.github.io/telco/assets/catalog/acc-charger-usbc-20w-white-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-charger-usbc-20w-white-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-charger-usbc-20w-white-1600.jpg,One size,White,unisex,,D·TELCO Shop
44,39.00,39.00,acc-charger-usbc-45w-black,acc-charger-usbc-45w,45 W USB-C charger Black,https://d-telco.github.io/telco/assets/catalog/acc-charger-usbc-45w-black-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-charger-usbc-45w-black-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-charger-usbc-45w-black-1600.jpg,One size,Black,unisex,,D·TELCO Shop
44,39.00,39.00,acc-charger-usbc-45w-white,acc-charger-usbc-45w,45 W USB-C charger White,https://d-telco.github.io/telco/assets/catalog/acc-charger-usbc-45w-white-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-charger-usbc-45w-white-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-charger-usbc-45w-white-1600.jpg,One size,White,unisex,,D·TELCO Shop
1,44.00,44.00,acc-charger-wireless-pad-black,acc-charger-wireless-pad,Wireless charging pad Black,https://d-telco.github.io/telco/assets/catalog/acc-charger-wireless-pad-black-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-charger-wireless-pad-black-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-charger-wireless-pad-black-1600.jpg,One size,Black,unisex,,D·TELCO Shop
10,44.00,44.00,acc-charger-wireless-pad-white,acc-charger-wireless-pad,Wireless charging pad White,https://d-telco.github.io/telco/assets/catalog/acc-charger-wireless-pad-white-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-charger-wireless-pad-white-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-charger-wireless-pad-white-1600.jpg,One size,White,unisex,,D·TELCO Shop
5,39.00,39.00,acc-power-10000-black,acc-power-10000,10 000 mAh power bank Black,https://d-telco.github.io/telco/assets/catalog/acc-power-10000-black-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-power-10000-black-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-power-10000-black-1600.jpg,One size,Black,unisex,,D·TELCO Shop
70,39.00,39.00,acc-power-10000-blue,acc-power-10000,10 000 mAh power bank Blue,https://d-telco.github.io/telco/assets/catalog/acc-power-10000-blue-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-power-10000-blue-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-power-10000-blue-1600.jpg,One size,Blue,unisex,,D·TELCO Shop
41,59.00,59.00,acc-power-20000-black,acc-power-20000,20 000 mAh power bank Black,https://d-telco.github.io/telco/assets/catalog/acc-power-20000-black-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-power-20000-black-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-power-20000-black-1600.jpg,One size,Black,unisex,,D·TELCO Shop
107,24.00,24.00,acc-power-5000-black,acc-power-5000,5 000 mAh power bank Black,https://d-telco.github.io/telco/assets/catalog/acc-power-5000-black-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-power-5000-black-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-power-5000-black-1600.jpg,One size,Black,unisex,,D·TELCO Shop
68,24.00,24.00,acc-power-5000-white,acc-power-5000,5 000 mAh power bank White,https://d-telco.github.io/telco/assets/catalog/acc-power-5000-white-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-power-5000-white-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-power-5000-white-1600.jpg,One size,White,unisex,,D·TELCO Shop
0,49.00,49.00,acc-power-magnetic-5000-black,acc-power-magnetic-5000,5 000 mAh magnetic power bank Black,https://d-telco.github.io/telco/assets/catalog/acc-power-magnetic-5000-black-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-power-magnetic-5000-black-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-power-magnetic-5000-black-1600.jpg,One size,Black,unisex,,D·TELCO Shop
0,49.00,49.00,acc-power-magnetic-5000-white,acc-power-magnetic-5000,5 000 mAh magnetic power bank White,https://d-telco.github.io/telco/assets/catalog/acc-power-magnetic-5000-white-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-power-magnetic-5000-white-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-power-magnetic-5000-white-1600.jpg,One size,White,unisex,,D·TELCO Shop
114,19.00,19.00,acc-screen-galaxy-s25-clear,acc-screen-galaxy-s25,Screen protector for Galaxy S25 family Clear,https://d-telco.github.io/telco/assets/catalog/acc-screen-galaxy-s25-clear-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-screen-galaxy-s25-clear-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-screen-galaxy-s25-clear-1600.jpg,One size,Clear,unisex,,D·TELCO Shop
24,19.00,19.00,acc-screen-iphone-16-clear,acc-screen-iphone-16,Screen protector for iPhone 16 family Clear,https://d-telco.github.io/telco/assets/catalog/acc-screen-iphone-16-clear-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-screen-iphone-16-clear-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-screen-iphone-16-clear-1600.jpg,One size,Clear,unisex,,D·TELCO Shop
47,19.00,19.00,acc-screen-iphone-17-clear,acc-screen-iphone-17,Screen protector for iPhone 17 family Clear,https://d-telco.github.io/telco/assets/catalog/acc-screen-iphone-17-clear-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-screen-iphone-17-clear-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-screen-iphone-17-clear-1600.jpg,One size,Clear,unisex,,D·TELCO Shop
45,19.00,19.00,acc-screen-pixel-10-clear,acc-screen-pixel-10,Screen protector for Pixel 10 family Clear,https://d-telco.github.io/telco/assets/catalog/acc-screen-pixel-10-clear-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-screen-pixel-10-clear-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-screen-pixel-10-clear-1600.jpg,One size,Clear,unisex,,D·TELCO Shop
9999,2.99,2.99,addon-5g,addon-5g,5G access,https://d-telco.github.io/telco/assets/catalog/addon-5g-1200.jpg,https://d-telco.github.io/telco/assets/catalog/addon-5g-400.jpg,https://d-telco.github.io/telco/assets/catalog/addon-5g-1600.jpg,,,,,D·TELCO
9999,0.00,0.00,addon-balance-notify,addon-balance-notify,Balance notification,https://d-telco.github.io/telco/assets/catalog/addon-balance-notify-1200.jpg,https://d-telco.github.io/telco/assets/catalog/addon-balance-notify-400.jpg,https://d-telco.github.io/telco/assets/catalog/addon-balance-notify-1600.jpg,,,,,D·TELCO
9999,15.99,15.99,addon-intl-120,addon-intl-120,120 international minutes,https://d-telco.github.io/telco/assets/catalog/addon-intl-120-1200.jpg,https://d-telco.github.io/telco/assets/catalog/addon-intl-120-400.jpg,https://d-telco.github.io/telco/assets/catalog/addon-intl-120-1600.jpg,120 minutes / 28 days,,,,D·TELCO
9999,4.99,4.99,addon-intl-30,addon-intl-30,30 international minutes,https://d-telco.github.io/telco/assets/catalog/addon-intl-30-1200.jpg,https://d-telco.github.io/telco/assets/catalog/addon-intl-30-400.jpg,https://d-telco.github.io/telco/assets/catalog/addon-intl-30-1600.jpg,30 minutes / 28 days,,,,D·TELCO
9999,34.99,34.99,addon-intl-300,addon-intl-300,300 international minutes,https://d-telco.github.io/telco/assets/catalog/addon-intl-300-1200.jpg,https://d-telco.github.io/telco/assets/catalog/addon-intl-300-400.jpg,https://d-telco.github.io/telco/assets/catalog/addon-intl-300-1600.jpg,300 minutes / 28 days,,,,D·TELCO
9999,8.99,8.99,addon-intl-60,addon-intl-60,60 international minutes,https://d-telco.github.io/telco/assets/catalog/addon-intl-60-1200.jpg,https://d-telco.github.io/telco/assets/catalog/addon-intl-60-400.jpg,https://d-telco.github.io/telco/assets/catalog/addon-intl-60-1600.jpg,60 minutes / 28 days,,,,D·TELCO
9999,1.49,1.49,addon-min-100,addon-min-100,100 national minutes,https://d-telco.github.io/telco/assets/catalog/addon-min-100-1200.jpg,https://d-telco.github.io/telco/assets/catalog/addon-min-100-400.jpg,https://d-telco.github.io/telco/assets/catalog/addon-min-100-1600.jpg,100 minutes / 28 days,,,,D·TELCO
9999,3.49,3.49,addon-min-300,addon-min-300,300 national minutes,https://d-telco.github.io/telco/assets/catalog/addon-min-300-1200.jpg,https://d-telco.github.io/telco/assets/catalog/addon-min-300-400.jpg,https://d-telco.github.io/telco/assets/catalog/addon-min-300-1600.jpg,300 minutes / 28 days,,,,D·TELCO
9999,5.99,5.99,addon-min-600,addon-min-600,600 national minutes,https://d-telco.github.io/telco/assets/catalog/addon-min-600-1200.jpg,https://d-telco.github.io/telco/assets/catalog/addon-min-600-400.jpg,https://d-telco.github.io/telco/assets/catalog/addon-min-600-1600.jpg,600 minutes / 28 days,,,,D·TELCO
9999,9.99,9.99,addon-min-unl,addon-min-unl,Unlimited national minutes,https://d-telco.github.io/telco/assets/catalog/addon-min-unl-1200.jpg,https://d-telco.github.io/telco/assets/catalog/addon-min-unl-400.jpg,https://d-telco.github.io/telco/assets/catalog/addon-min-unl-1600.jpg,unlimited minutes / 28 days,,,,D·TELCO
9999,4.99,4.99,addon-sms-1000,addon-sms-1000,1000 SMS,https://d-telco.github.io/telco/assets/catalog/addon-sms-1000-1200.jpg,https://d-telco.github.io/telco/assets/catalog/addon-sms-1000-400.jpg,https://d-telco.github.io/telco/assets/catalog/addon-sms-1000-1600.jpg,1000 SMS / 28 days,,,,D·TELCO
9999,1.19,1.19,addon-sms-150,addon-sms-150,150 SMS,https://d-telco.github.io/telco/assets/catalog/addon-sms-150-1200.jpg,https://d-telco.github.io/telco/assets/catalog/addon-sms-150-400.jpg,https://d-telco.github.io/telco/assets/catalog/addon-sms-150-1600.jpg,150 SMS / 28 days,,,,D·TELCO
9999,1.79,1.79,addon-sms-250,addon-sms-250,250 SMS,https://d-telco.github.io/telco/assets/catalog/addon-sms-250-1200.jpg,https://d-telco.github.io/telco/assets/catalog/addon-sms-250-400.jpg,https://d-telco.github.io/telco/assets/catalog/addon-sms-250-1600.jpg,250 SMS / 28 days,,,,D·TELCO
9999,0.49,0.49,addon-sms-50,addon-sms-50,50 SMS,https://d-telco.github.io/telco/assets/catalog/addon-sms-50-1200.jpg,https://d-telco.github.io/telco/assets/catalog/addon-sms-50-400.jpg,https://d-telco.github.io/telco/assets/catalog/addon-sms-50-1600.jpg,50 SMS / 28 days,,,,D·TELCO
9999,2.99,2.99,addon-sms-500,addon-sms-500,500 SMS,https://d-telco.github.io/telco/assets/catalog/addon-sms-500-1200.jpg,https://d-telco.github.io/telco/assets/catalog/addon-sms-500-400.jpg,https://d-telco.github.io/telco/assets/catalog/addon-sms-500-1600.jpg,500 SMS / 28 days,,,,D·TELCO
9999,0.00,0.00,addon-volte,addon-volte,VoLTE,https://d-telco.github.io/telco/assets/catalog/addon-volte-1200.jpg,https://d-telco.github.io/telco/assets/catalog/addon-volte-400.jpg,https://d-telco.github.io/telco/assets/catalog/addon-volte-1600.jpg,,,,,D·TELCO
9999,0.00,0.00,addon-vowifi,addon-vowifi,VoWiFi,https://d-telco.github.io/telco/assets/catalog/addon-vowifi-1200.jpg,https://d-telco.github.io/telco/assets/catalog/addon-vowifi-400.jpg,https://d-telco.github.io/telco/assets/catalog/addon-vowifi-1600.jpg,,,,,D·TELCO
9999,74.99,74.99,bundle-converge-1000,bundle-converge-1000,Fiber 1 Gbps with Klass 31,https://d-telco.github.io/telco/assets/catalog/bundle-converge-1000-1200.jpg,https://d-telco.github.io/telco/assets/catalog/bundle-converge-1000-400.jpg,https://d-telco.github.io/telco/assets/catalog/bundle-converge-1000-1600.jpg,Home plus mobile,,,,D·TELCO
9999,44.99,44.99,bundle-converge-300,bundle-converge-300,Fiber 300 with Klass 19,https://d-telco.github.io/telco/assets/catalog/bundle-converge-300-1200.jpg,https://d-telco.github.io/telco/assets/catalog/bundle-converge-300-400.jpg,https://d-telco.github.io/telco/assets/catalog/bundle-converge-300-1600.jpg,Home plus mobile,,,,D·TELCO
9999,34.00,34.00,bundle-family-2,bundle-family-2,Family 2 lines,https://d-telco.github.io/telco/assets/catalog/bundle-family-2-1200.jpg,https://d-telco.github.io/telco/assets/catalog/bundle-family-2-400.jpg,https://d-telco.github.io/telco/assets/catalog/bundle-family-2-1600.jpg,2 lines,,,,D·TELCO
9999,48.00,48.00,bundle-family-3,bundle-family-3,Family 3 lines,https://d-telco.github.io/telco/assets/catalog/bundle-family-3-1200.jpg,https://d-telco.github.io/telco/assets/catalog/bundle-family-3-400.jpg,https://d-telco.github.io/telco/assets/catalog/bundle-family-3-1600.jpg,3 lines,,,,D·TELCO
